,c_name,c_type,definition,relation,sub_name,link
1,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
2,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Business Direction Communication,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211325
3,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Business Direction Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211327
4,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Business Direction Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211332
5,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Business Direction Formulation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211334
6,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",composed of,Business Direction Implementation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211342
7,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
8,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",served by,IT Systems Direction,https://bian.org/servicelandscape-12-0-0/object_21.html?object=39103
9,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",served by,Corporate Strategy,https://bian.org/servicelandscape-12-0-0/object_22.html?object=42779
10,Business Direction Management,Capability,"The ability to provide analysis functionality to enable strategic direction settings and business development including planning, analytics, reporting and monitoring of execution of bank strategy against strategic objectives. 
 ",served by,Enterprise Architecture,https://bian.org/servicelandscape-12-0-0/object_22.html?object=45011
11,Enterprise Management and Controlling,Grouping,NA,composed of,Investor Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129193
12,Enterprise Management and Controlling,Grouping,NA,composed of,Finance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129975
13,Enterprise Management and Controlling,Grouping,NA,composed of,Risk Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130374
14,Enterprise Management and Controlling,Grouping,NA,composed of,Fraud Incident Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130709
15,Enterprise Management and Controlling,Grouping,NA,composed of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
16,Enterprise Management and Controlling,Grouping,NA,composed of,Business Entity Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=62001
17,Enterprise Management and Controlling,Grouping,NA,composed of,Policy Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81319
18,Enterprise Management and Controlling,Grouping,NA,is part of,Investor Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129193
19,Enterprise Management and Controlling,Grouping,NA,is part of,Risk Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130374
20,Enterprise Management and Controlling,Grouping,NA,is part of,Fraud Incident Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130709
21,Enterprise Management and Controlling,Grouping,NA,is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
22,Enterprise Management and Controlling,Grouping,NA,is part of,Business Entity Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=62001
23,Enterprise Management and Controlling,Grouping,NA,is part of,Policy Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81319
24,Business Direction Communication,Capability,NA,is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
25,Business Direction Association Management,Capability,Ability to manage the relationship of business direction with other business objects and/or utilize other capabilities in the management of business direction. ,composed of,Business Direction to Information Association,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211323
26,Business Direction Association Management,Capability,Ability to manage the relationship of business direction with other business objects and/or utilize other capabilities in the management of business direction. ,composed of,Business Direction to Risk Association,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211346
27,Business Direction Association Management,Capability,Ability to manage the relationship of business direction with other business objects and/or utilize other capabilities in the management of business direction. ,is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
28,Business Direction Performance Management,Capability,Ability to assess and determine the state of the organization with respect to its business direction. ,composed of,Goal Achievement Determination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211340
29,Business Direction Performance Management,Capability,Ability to assess and determine the state of the organization with respect to its business direction. ,composed of,Objective Achievement Determination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211344
30,Business Direction Performance Management,Capability,Ability to assess and determine the state of the organization with respect to its business direction. ,is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
31,Business Direction Formulation,Capability,"Ability to conceptualize, articulate, and validate a vision, mission, identity, goal, objective and/or other aspirational target. ",composed of,Mission Development,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211336
32,Business Direction Formulation,Capability,"Ability to conceptualize, articulate, and validate a vision, mission, identity, goal, objective and/or other aspirational target. ",composed of,Vision Development,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211338
33,Business Direction Formulation,Capability,"Ability to conceptualize, articulate, and validate a vision, mission, identity, goal, objective and/or other aspirational target. ",is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
34,Business Direction Implementation,Capability,"Ability to ascertain, prioritize and fund an action and/or approach that progresses the bank implements toward its business direction.  ",composed of,Strategy Development,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211330
35,Business Direction Implementation,Capability,"Ability to ascertain, prioritize and fund an action and/or approach that progresses the bank implements toward its business direction.  ",composed of,Goal Setting,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211348
36,Business Direction Implementation,Capability,"Ability to ascertain, prioritize and fund an action and/or approach that progresses the bank implements toward its business direction.  ",composed of,Objective Setting,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211350
37,Business Direction Implementation,Capability,"Ability to ascertain, prioritize and fund an action and/or approach that progresses the bank implements toward its business direction.  ",is part of,Business Direction Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130892
38,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor to Information Association,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129191
